regionId,name
1,New York State
2,New Jersey
3,Connecticut
4,California
5,Texas
6,Colorado
7,Florida
8,Arizona
9,New Mexico
10,Washington
11,Illinois
12,Maine
13,Hawaii
14,Alaska
15,Ontario
